uri	name	issn	eissn	
	Journal of Micro-Nanolithography Mems and Moems	1537-1646		
	Journal of Microbiological Methods	0167-7012		
	Journal of Microbiology and Biotechnology	1017-7825		
	Journal of Microelectromechanical Systems	1057-7157		
	Journal of Microencapsulation	0265-2048		
	Journal of Micromechanics and Microengineering	0960-1317		
	Journal of Midwifery and Womens Health	1526-9523	1542-2011	
	Journal of Military History	0899-3718		
	Journal of Mineralogical and Petrological Sciences	1345-6296		
	Journal of Minimally Invasive Gynecology	1553-4650		
	Journal of Modern African Studies	0022-278X		
	Journal of Modern Greek Studies	0738-1727		
	Journal of Modern History	0022-2801		
	Journal of Modern Italian Studies	1354-571X		
	Journal of Modern Optics	0950-0340		
	Journal of Molecular Biology	0022-2836		
	Journal of Molecular Catalysis A-Chemical	1381-1169		
	Journal of Molecular Catalysis B-Enzymatic	1381-1177		
	Journal of Molecular Endocrinology	0952-5041	1479-6813	
	Journal of Molecular Evolution	0022-2844		
	Journal of Molecular Graphics and Modelling	1093-3263		
	Journal of Molecular Histology	1567-2379		
	Journal of Molecular Medicine-Jmm	0946-2716		
	Journal of Molecular Microbiology and Biotechnology	1464-1801	1660-2412	
	Journal of Molecular Modeling	1610-2940	0948-5023	
	Journal of Molecular Neuroscience	0895-8696	1559-1166	
	Journal of Molecular Structure	0022-2860		
	Journal of Molecular Structure-Theochem	0166-1280		
	Journal of Molecular and Cellular Cardiology	0022-2828		
	Journal of Molluscan Studies	0260-1230		
	Journal of Money Credit and Banking	0022-2879		
	Journal of Moral Philosophy	1740-4681		
	Journal of Morphology and Physiology	0362-2525	1097-4687	
	Journal of Motor Behavior	0022-2895		
	Journal of Multicultural Counseling and Development	0883-8534		
	Journal of Multilingual and Multicultural Development	0143-4632		
	Journal of Multivariate Analysis	0047-259X		
	Journal of Muscle Research and Cell Motility	0142-4319		
	Journal of Musculoskeletal & Neuronal Interactions	1108-7161		
	Journal of Musculoskeletal Pain	1058-2452		
	Journal of Musicology	0277-9269		
	Journal of Nanoelectronics and Optoelectronics	1555-130X		
	Journal of Nanoparticle Research	1388-0764		
	Journal of Nanoscience and Nanotechnology	1533-4880		
	Journal of Natural History	0022-2933		
	Journal of Natural Products	0163-3864		
	Journal of Navigation	0373-4633		
	Journal of Nematology	0022-300X		
	Journal of Nephrology	1121-8428		
	Journal of Network and Computer Applications	1084-8045		
	Journal of Neural Engineering	1741-2560	1741-2552	
	Journal of Neural Transmission	0300-9564	1435-1463	
	Journal of Neuro-Oncology	0167-594X		
	Journal of Neuro-Ophthalmology	1070-8022		
	Journal of NeuroVirology	1355-0284	1538-2443	
	Journal of Neurobiology	0022-3034		
	Journal of Neurochemistry	0022-3042	1471-4159	
	Journal of Neurodevelopmental Disorders	1866-1947		
	Journal of Neuroendocrinology	0953-8194		
	Journal of Neuroengineering and Rehabilitation	1743-0003		
	Journal of Neurogenetics	0167-7063		
	Journal of Neuroimmune Pharmacology	1557-1890	1557-1904	
	Journal of Neuroimmunology	0165-5728		
	Journal of Neuroinflammation	1742-2094		
	Journal of Neurointerventional Surgery	1759-8478		
	Journal of Neurolinguistics	0911-6044		
	Journal of Neurologic Physical Therapy	1557-0576		
	Journal of Neurological Surgery Part A-Central European Neurosurgery	2193-6315		
	Journal of Neurological Surgery Part B-Skull Base	2193-6331		
	Journal of Neurology	0340-5354		
	"Journal of Neurology	 Neurosurgery & Psychiatry"	0022-3050	1468-330X	
	Journal of Neurology. Supplement	1432-1459		
	Journal of Neuropathology and Experimental Neurology	0022-3069		
	Journal of Neurophysiology	0022-3077	1522-1598	
	Journal of Neuropsychiatry and Clinical Neurosciences	0895-0172	1545-7222	
	Journal of Neuropsychology	1748-6645	1748-6653	
	Journal of Neuroradiology	0150-9861		
	Journal of Neuroscience	0270-6474	1529-2401	
	Journal of Neuroscience Methods	0165-0270	1872-678X	
	Journal of Neuroscience Nursing	0888-0395		
	Journal of Neuroscience Research	0360-4012		
	Journal of Neurosurgery	0022-3085		
	Journal of Neurosurgery-Spine	1547-5654	1547-5646	
	Journal of Neurosurgery. Pediatrics	1933-0707	1933-0715	
	Journal of Neurosurgical Anesthesiology	0898-4921		
	Journal of Neurosurgical Sciences	0390-5616		
	Journal of Neurotrauma	0897-7151		
	Journal of Non-Crystalline Solids	0022-3093		
	Journal of Nondestructive Evaluation	0195-9298		
	Journal of Nonparametric Statistics	1048-5252		
	Journal of Nuclear Cardiology	1071-3581	1532-6551	
	Journal of Nuclear Materials	0022-3115		
	Journal of Nuclear Science and Technology	0022-3131		
	Journal of Number Theory	0022-314X		
	Journal of Nursing Administration	0002-0443		
	Journal of Nursing Management	0966-0429		
	Journal of Nursing Measurement	1061-3749		
	Journal of Nursing Scholarship	1527-6546	1547-5069	
	Journal of Nutrition	0022-3166	1541-6100	
	Journal of Nutrition Education and Behavior	1499-4046	1878-2620	
	Journal of Nutrition for the Elderly	0163-9366		
	Journal of Nutritional Biochemistry	0955-2863		
	Journal of Obsessive-Compulsive and Related Disorders	2211-3649		
	Journal of Obstetrics and Gynaecology	0144-3615		
	"Journal of Obstetrics	 Gynecological & Neonatal Nursing"	0884-2175		
	Journal of Occupational Health Psychology	1076-8998		
	Journal of Occupational Rehabilitation	1053-0487		
	Journal of Occupational and Environmental Hygiene	1545-9624		
	Journal of Occupational and Environmental Medicine	1076-2752	1536-5948	
	Journal of Ocean Technology	1718-3200		
	Journal of Ocean University of China	1672-5182		
	Journal of Ocular Pharmacology and Therapeutics	1080-7683		
	Journal of Official Statistics	0282-423X		
	Journal of Operations Management	0272-6963		
	Journal of Ophthalmology	2090-004X		
	Journal of Optical Communications and Networking	1943-0620		
	Journal of Optics	2040-8978		
	Journal of Optics A-Pure and Applied Optics	1464-4258		
	Journal of Optimization Theory and Applications	0022-3239		
	Journal of Optoelectronics and Advanced Materials	1454-4164		
	Journal of Oral Pathology and Medicine	0904-2512		
	Journal of Oral Rehabilitation	0305-182X	1365-2842	
	Journal of Oral and Maxillofacial Surgery	0278-2391	1531-5053	
	Journal of Organizational Behavior	0894-3796		
	Journal of Organizational Computing and Electronic Commerce	1091-9392		
	Journal of Organometallic Chemistry	0022-328X		
	Journal of Ornithology	0021-8375		
	Journal of Orofacial Pain	1064-6655		
	Journal of Orthopaedic Research	0736-0266	1554-527X	
	Journal of Orthopaedic Science	0949-2658		
	Journal of Orthopaedic Surgery and Research	1749-799X		
	Journal of Orthopaedic Trauma	0890-5339		
	Journal of Outcome Measurement	1090-655X		
	Journal of Paediatrics and Child Health	1034-4810	1440-1754	
	Journal of Pain	1526-5900	1528-8447	
	Journal of Pain & Palliative Care Pharmacotherapy	1536-0288	1536-0539	
	Journal of Pain and Symptom Management	0885-3924		
	Journal of Paleolimnology	0921-2728		
	Journal of Paleontology	0022-3360		
	Journal of Palestine Studies	0377-919X		
	Journal of Palliative Care	0825-8597		
	Journal of Palliative Medicine	1096-6218		
	Journal of Parallel and Distributed Computing	0743-7315		
	Journal of Parenteral and Enteral Nutrition	0148-6071		
	Journal of Parkinsons Disease	1877-7171		
	Journal of Pathology	0022-3417		
	Journal of Pediatric Health Care	0891-5245		
	Journal of Pediatric Hematology/Oncology	1077-4114	1536-3678	
	Journal of Pediatric Nursing	0882-5963		
	Journal of Pediatric Ophthalmology and Strabismus	0191-3913		
	Journal of Pediatric Orthopaedics	0271-6798		
	Journal of Pediatric Psychology	0146-8693	1465-735X	
	Journal of Pediatric Surgery	0022-3468	1531-5037	
	Journal of Pediatric Urology	1477-5131		
	Journal of Pediatric and Adolescent Gynecology	1083-3188		
	Journal of Peptide Science	1075-2617		
	Journal of Perianesthesia Nursing	1089-9472		
	Journal of Perinatal and Neonatal Nursing	0893-2190		
	Journal of Perinatology	0743-8346	1476-5543	
	Journal of Perinatology	0743-8346	1476-5543	
	Journal of Periodontal Research	0022-3484		
	Journal of Periodontology	0022-3492	1943-3670	
	Journal of Personality	0022-3506		
	Journal of Personality Assessment	0022-3891		
	Journal of Personality and Social Psychology	0022-3514	1939-1315	
	Journal of Pest Science	1612-4758		
	Journal of Petrology	0022-3530	1460-2415	
	Journal of Pharmaceutical Sciences	0022-3549	1520-6017	
	Journal of Pharmaceutical and Biomedical Analysis	0731-7085		
	Journal of Pharmacoepidemiology	0896-6966	1540-8582	
	Journal of Pharmacokinetics and Pharmacodynamics	1567-567X		
	Journal of Pharmacy and Pharmacology	0022-3573		
	Journal of Phase Equilibria and Diffusion	1547-7037		
	Journal of Phonetics	0095-4470		
	Journal of Photochemistry and Photobiology A-Chemistry	1010-6030		
	Journal of Photochemistry and Photobiology B-Biology	1011-1344		
	Journal of Photochemistry and Photobiology C-Photochemistry Reviews	1389-5567		
	Journal of Photonics for Energy	1947-7988		
	Journal of Phycology	0022-3646	1529-8817	
	Journal of Physical Activity and Health	1543-3080		
	Journal of Physical Chemistry B	1520-6106		
	Journal of Physical Chemistry C	1932-7447		
	Journal of Physical Chemistry Letters	1948-7185		
	Journal of Physical Oceanography	0022-3670		
	Journal of Physical Organic Chemistry	0894-3230		
	Journal of Physical Therapy Science	0915-5287		
	Journal of Physics A-Mathematical and Theoretical	1751-8113		
	Journal of Physics D-Applied Physics	0022-3727		
	Journal of Physics and Chemistry of Solids	0022-3697		
	Journal of Physics-Condensed Matter	0953-8984		
	Journal of Physiological Sciences	1880-6546		
	Journal of Physiology and Pharmacology	0867-5910		
	Journal of Physiology-Paris	0928-4257		
	Journal of Physiotherapy	1836-9553		
	Journal of Phytopathology	0931-1785	1439-0434	
	Journal of Pidgin and Creole Languages	0920-9034		
	Journal of Plankton Research	0142-7873	1464-3774	
	Journal of Planning Education and Research	0739-456X		
	Journal of Planning Literature	0885-4122		
	Journal of Plant Biochemistry and Biotechnology	0971-7811		
	Journal of Plant Biology	1226-9239		
	Journal of Plant Diseases and Protection	1861-3829		
	Journal of Plant Growth Regulation	0721-7595		
	Journal of Plant Interactions	1742-9145		
	Journal of Plant Nutrition	0190-4167		
	Journal of Plant Nutrition and Soil Science	1436-8730		
	Journal of Plant Pathology	1125-4653		
	Journal of Plant Physiology	0176-1617	1618-1328	
	Journal of Plant Registrations	1936-5209		
	Journal of Plant Research	0918-9440		
	Journal of Plastic Reconstructive and Aesthetic Surgery	1748-6815		
	Journal of Policy Analysis and Management	0276-8739		
	Journal of Policy Modeling	0161-8938		
	Journal of Political Economy	0022-3808		
	Journal of Politics	0022-3816		
	Journal of Polymer Materials	0973-8622		
	Journal of Polymer Science Part A-Polymer Chemistry	0887-624X		
	Journal of Polymer Science Part B-Polymer Physics	0887-6266		
	Journal of Polymers and the Environment	1566-2543		
	Journal of Popular Culture	0022-3840		
	Journal of Positive Behavior Interventions	1098-3007		
	Journal of Positive Psychology	1743-9760		
	Journal of Power Electronics	1598-2092		
	Journal of Power Sources	0378-7753		
	Journal of Pragmatics	0378-2166		
	Journal of Product Innovation Management	0737-6782		
	Journal of Productivity Analysis	0895-562X		
	Journal of Professional Issues in Engineering Education and Practice	1052-3928		
	Journal of Professional Nursing	8755-7223		
	Journal of Propulsion and Power	0748-4658		
	Journal of Prosthodontics	1059-941X	1532-849X	
	Journal of Proteome Research	1535-3893	1535-3907	
	Journal of Proteomics	1874-3919	1876-7737	
	Journal of Psychiatric Practice	1527-4160		
	Journal of Psychiatric Research	0022-3956		
	Journal of Psychiatry & Neuroscience Revue	1180-4882	1488-2434	
	Journal of Psychoactive Drugs	0279-1072		
	Journal of Psychoeducational Assessment	0734-2829		
	Journal of Psycholinguistic Research	0090-6905		
	Journal of Psychology and Theology	0091-6471		
	Journal of Psychopathology and Behavioral Assessment	0882-2689		
	Journal of Psychophysiology	0269-8803		
	Journal of Psychosocial Nursing and Mental Health Services	0279-3695		
	Journal of Psychosocial Oncology	0734-7332		
	Journal of Psychosomatic Obstetrics and Gynecology	0167-482X		
	Journal of Psychosomatic Research	0022-3999		
	Journal of Public Economic Theory	1097-3923		
	Journal of Public Economics	0047-2727		
	Journal of Public Health Dentistry	0022-4006		
	Journal of Public Health Management and Practice	1078-4659		
	Journal of Public Policy and Marketing	0743-9156		
	Journal of Public Relations Research	1062-726X		
	Journal of Pure and Applied Algebra	0022-4049		
	Journal of Quantitative Criminology	0748-4518		
	Journal of Quantitative Linguistics	0929-6174		
	Journal of Quantitative Spectroscopy and Radiative Transfer	0022-4073		
	Journal of Radiological Protection	0952-4746		
	Journal of Raman Spectroscopy	0377-0486		
	Journal of Raptor Research	0892-1016		
	Journal of Real Estate Finance and Economics	0895-5638		
	Journal of Real Estate Research	0896-5803		
	Journal of Receptors and Signal Transduction	1079-9893		
	Journal of Reconstructive Microsurgery	0743-684X		
	Journal of Refractive Surgery	1081-597X		
	Journal of Regional Science	0022-4146		
	Journal of Regulatory Economics	0922-680X		
	Journal of Rehabilitation Medicine	1650-1977		
	Journal of Rehabilitation Research and Development	0748-7711	1938-1352	
	Journal of Reinforced Plastics and Composites	0731-6844		
	Journal of Religion	0022-4189		
	Journal of Religion and Health	0022-4197		
	Journal of Religious History	0022-4227		
	Journal of Renal Nutrition	1051-2276		
	Journal of Reproduction and Development	0916-8818		
	Journal of Reproductive Immunology	0165-0378		
	Journal of Reproductive Medicine	0024-7758		
	Journal of Reproductive and Infant Psychology	0264-6838		
	Journal of Research On Adolescence	1050-8392		
	Journal of Research in Crime and Delinquency	0022-4278		
	Journal of Research in Personality	0092-6566		
	Journal of Research in Rural Education	1551-0670		
	Journal of Research in Science Teaching	0022-4308		
	Journal of Residuals Science and Technology	1544-8053		
	Journal of Retailing	0022-4359		
	Journal of Rheology	0148-6055		
	Journal of Risk	1465-1211		
	Journal of Risk Research	1366-9877		
	Journal of Risk and Insurance	0022-4367		
	Journal of Royal Society Interface	1742-5689	1742-5662	
	Journal of STEM Education	1557-5276	1557-5284	
	Journal of Safety Research	0022-4375	1879-1247	
	Journal of Sandwich Structures and Materials	1099-6362		
	Journal of School Health	0022-4391	1746-1561	
	Journal of School Nursing	1059-8405		
	Journal of School Psychology	0022-4405		
